arc	source	kind	reproducible_from_committed	what	where	why
B1_gluing_chern_simons	main	COMPUTED	yes	log(A) = (log phi^2/sqrt5)(H+2(E+F)); frame-to-spin ratio d/a=2; torsion coeff=0	probe.py computation_1_frame_spin_decomposition	numeric logm check to 2.8e-16 and symbolic sympy check are in probe.py, runnable
B1_gluing_chern_simons	main	COMPUTED	yes	gluing identity S_A = ext[S_L-F_R+m*s] holds; extremised (m,s)=(q,Q-q)	probe.py computation_2_gluing_is_composition	sympy symbolic check calling origin_axiom.gluing module, imports external module not shown here
B2_moduli_evolution	main	COMPUTED	yes	handoff claim (M,L)->(M^2L,ML) does NOT preserve figure-eight A-polynomial (nonzero remainder on polynomial division)	probe.py computation_2_test_curve_invariance	sympy exact polynomial division, self-contained in probe.py
B2_moduli_evolution	main	COMPUTED	yes	continuum limit exp(t log A) returns A at t=1	probe.py computation_3_continuum_limit	exact sympy check
B3_regge_complex	main	ASSERTED	no	figure-eight complement has 2 regular ideal tetrahedra, 2 edge classes, 4 face classes, 1 cusp (Thurston, standard fact)	probe.py NUM_TETRAHEDRA etc, hardcoded constants	these counts are stated as 'verifiable in SnapPy' but SnapPy is not run in this probe -- the numbers are hardcoded literature facts, not computed here
B3_regge_complex	main	COMPUTED	yes	3D Regge deficit per edge = 0 (zero-deficit at complete hyperbolic structure)	probe.py regge_edge_check	sympy arithmetic from the hardcoded constants above; exact given those inputs
B4_bkl_gutzwiller	main	COMPUTED	yes	figure-eight orbit (trace 3, word LR) is the shortest primitive modular-billiard orbit; length 4 log phi	probe.py gutzwiller_sum	brute-force enumeration up to word length 10 in probe.py, exact
B4_bkl_gutzwiller	main	COMPUTED	yes	figure-eight share of Gutzwiller orbit sum = 37.8% (numerical, up to trace 17)	probe.py gutzwiller_sum, main()	explicit numeric sum truncated to orbits up to trace 17, printed and reproducible; explicitly labelled Numerical not exact
B4_bkl_gutzwiller	main	COMPUTED	yes	Kasner exponents at u=phi form geometric progression with ratio phi	probe.py kasner_at()	exact symbolic-equivalent numeric check
B5_wheeler_dewitt	main	COMPUTED	yes	H=0 constraint reduces to r^2-r-1=0, solutions phi and -1/phi	probe.py main()	sympy solve, exact and trivial
